"filename", "language", "Markdown", "Docker", "JSON with Comments", "JavaScript", "TypeScript React", "YAML", "JSON", "Ignore", "SCSS", "CSS", "XML", "TypeScript", "comment", "blank", "total"
"e:\GitHub\Meally\src\common\styles\modules\RecipePage.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 12, 71
"e:\GitHub\Meally\src\common\styles\modules\Signup.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 12, 71
"e:\GitHub\Meally\src\common\styles\responsive_design.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 4, 40
"e:\GitHub\Meally\src\pages\404.tsx", "TypeScript React", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 1, 5, 19
"e:\GitHub\Meally\src\pages\_app.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 5, 30
"e:\GitHub\Meally\src\pages\_document.tsx", "TypeScript React", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\GitHub\Meally\src\pages\admin\index.tsx", "TypeScript React", 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 4, 65
"e:\GitHub\Meally\src\pages\admin\signin.tsx", "TypeScript React", 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 2, 13, 141
"e:\GitHub\Meally\src\pages\admin\signup.tsx", "TypeScript React", 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 13, 137
"e:\GitHub\Meally\src\pages\api\hello.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 3, 14
"e:\GitHub\Meally\src\pages\api\recipes\[id].ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 3, 22
"e:\GitHub\Meally\src\pages\api\recipes\create.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 2, 3, 25
"e:\GitHub\Meally\src\pages\api\recipes\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 1, 3, 17
"e:\GitHub\Meally\src\pages\index.tsx", "TypeScript React", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 1, 8, 39
"e:\GitHub\Meally\src\pages\recipes\[id].tsx", "TypeScript React", 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 4, 12, 222
"e:\GitHub\Meally\src\pages\recipes\index.tsx", "TypeScript React", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 1, 5, 52
"e:\GitHub\Meally\tailwind.config.js", "JavaScript", 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 122
"e:\GitHub\Meally\tests\components\Addbatch.test.tsx", "TypeScript React", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\GitHub\Meally\tests\components\RecipeCard.test.tsx", "TypeScript React", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"e:\GitHub\Meally\tests\components\StepCard.test.tsx", "TypeScript React", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\GitHub\Meally\tests\testing.tsx", "TypeScript React", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 1, 15, 124
"e:\GitHub\Meally\tsconfig.json", "JSON with Comments", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 31
"Total", "-", 200, 8, 22, 228, 1529, 24, 37421, 39, 466, 50, 15, 251, 107, 397, 40757
